ds,yhat,yhat_lower,yhat_upper
2023-03-11,119.4342720751931,69.59607190947933,174.5422702926028
2023-03-12,81.0091796987281,27.922063868032893,136.51030667420005
2023-03-13,84.37955617044769,28.97950353031965,140.61964998334793
2023-03-14,79.09274604372294,24.49885015347317,133.17418445489125
2023-03-15,79.88641442311517,26.175513154453842,130.47456958682108
2023-03-16,86.21053895508246,32.01938483555598,134.7951101359196
2023-03-17,112.85817528052054,57.52186560375891,163.7061564463208
2023-03-18,119.45655880945363,65.21081664245808,173.94715017198908
2023-03-19,80.99378498840196,27.379569053217043,133.46483331197706
2023-03-20,84.46559693217716,32.886234191466336,136.1687464005058
2023-03-21,79.25201326689609,21.705120375048036,129.07841568861488
2023-03-22,80.13686360709391,25.88684001179024,140.51033722977058
2023-03-23,86.56662031898239,30.591092091907228,143.93680833438978
2023-03-24,113.38126292780771,58.98573346749643,170.11042052944444
2023-03-25,120.07533146731336,65.66458340075816,174.75160051956976
2023-03-26,81.55493412316092,29.454542928126624,137.93173504170616
2023-03-27,85.09930914731562,30.98854652734243,138.248864839161
2023-03-28,79.92360481101443,24.63882326947034,137.13460580059706
2023-03-29,80.86029843188831,26.6286130243426,134.34546712116756
2023-03-30,87.35476488238055,33.79862531150221,135.20065254047827
2023-03-31,114.296136191098,59.74050860796013,168.09023316940227
2023-04-01,121.04821297753344,63.86675154609564,176.4927152954407
2023-04-02,82.43671964779676,31.785643815349044,137.89787948403892
2023-04-03,86.02557728741463,35.09857956896985,139.36604970073012
2023-04-04,80.86579124206129,27.164367222475168,135.50359655934045
2023-04-05,81.83872945981472,26.75561317234441,132.68521206164212
2023-04-06,88.38842466456585,33.54733246685746,141.04483062810192
2023-04-07,115.45244718949138,60.126091094059205,171.44066614218664
2023-04-08,122.2627129258293,67.39921317432368,175.09473730381578
2023-04-09,83.5630433558679,27.261156916987463,134.54775676394516
2023-04-10,87.20022339398604,33.59420941345125,142.05012797617817
2023-04-11,82.05908439286104,28.814267137875408,128.9513928165865
2023-04-12,83.06774009901605,28.894537900465174,138.47016254456645
